,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
521,24,female,2,own,little,little,3190,18,radio/TV
737,35,male,1,own,moderate,little,4380,18,car
740,32,male,2,own,moderate,little,2325,24,car
660,23,male,2,rent,little,rich,1297,12,radio/TV
411,35,male,3,own,little,,7253,33,car
678,64,male,1,rent,little,little,2384,24,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
513,20,male,2,rent,little,moderate,585,12,radio/TV
859,26,male,2,rent,moderate,,3577,9,car
136,27,male,2,own,rich,,8613,27,car
